Year,Month,Anzahl
2021,Januar,8676
2021,Februar,10466
2021,M?rz,24016
2021,April,24076
2021,Mai,32691
2021,Juni,46411
2021,Juli,42834
2021,August,41016
2021,September,51334
2021,Oktober,33183
2021,November,17218
2021,Dezember,25812
2022,Januar,8854
2022,Februar,22532
2022,M?rz,16801
2022,April,27427
2022,Mai,41670
2022,Juni,45098
2022,Juli,51058
2022,August,46192
2022,September,48364
2022,Oktober,31030
2022,November,21512
2022,Dezember,30175
2023,Januar,8870
2023,Februar,11618
2023,M?rz,22962
2023,April,22509
2023,Mai,40865
2023,Juni,47851
2023,Juli,42077
2023,August,42451
2023,September,46012
2023,Oktober,29818
2023,November,18961
2023,Dezember,26998
2024,Januar,8298
2024,Februar,
2024,M?rz,
2024,April,
